employee_id	lead_id	gross_base_salary	lead_monthly_budget	talent_segment	stagnation_compensation_quadrant	percentage_current_band	percentage_increase_last_12months	years_without_promotion_or_merit	is_talent	is_exceeding_expectations_last_year	high_performers_low_band	is_critical_position_or_successor	zscore_years_without_promotion_or_merit_for_hr_group	percentage_current_band_inv	percentage_increase_last_12months_inv
2445	619	16000	2481.0	Not Talent and Not High Performer	Recent Hires	100.0	0.0	0.5338809034907598	0.0	0.0	0.0	0.0	0.07430691770525864	0.3125	1.0
2496	84	9000	450.0	Not Talent and Not High Performer	Recent Hires	71.0	0.0	0.28473648186173856	0.0	0.0	0.0	0.0	0.037145109582489136	0.675	1.0
2053	1644	38921	7270.15	Not Talent and Not High Performer	Recent Hires	99.0	0.0	2.622861054072553	0.0	0.0	0.0	0.0	0.37886655805027336	0.325	1.0
2310	308	9300	1820.0	Not Talent and Not High Performer	Recent Hires	64.0	0.0	1.377138945927447	0.0	0.0	0.0	0.0	0.20066361481787484	0.7625000000000001	1.0
2389	2173	23000	8446.52	Not Talent and Not High Performer	Recent Hires	78.0	0.0	0.8733744010951403	0.0	0.0	0.0	1.0	0.12525658483463933	0.5875	1.0
2351	1777	13500	1980.05	Not Talent and Not High Performer	Recent Hires	84.0	0.0	1.1279945242984257	0.0	0.0	0.0	1.0	0.16293634855606748	0.5125000000000001	1.0
2353	923	15500	8620.1	Not Talent and Not High Performer	Recent Hires	97.0	0.0	1.1279945242984257	0.0	0.0	0.0	1.0	0.17418805818154806	0.35000000000000003	1.0
2509	755	8000	2671.55	Not Talent and Not High Performer	Recent Hires	78.0	0.0	0.2080766598220397	0.0	0.0	0.0	0.0	0.02567012675895329	0.5875	1.0
2508	736	14700	9549.14	Not Talent and Not High Performer	Recent Hires	92.0	0.0	0.2080766598220397	0.0	0.0	0.0	0.0	0.015993752337192385	0.41250000000000003	1.0
2483	722	9500	950.0	Not Talent and Not High Performer	Recent Hires	86.0	0.0	0.3805612594113621	0.0	0.0	0.0	0.0	0.05148883811190892	0.48750000000000004	1.0
2484	768	9800	5405.45	Not Talent and Not High Performer	Recent Hires	88.0	0.0	0.3805612594113621	0.0	0.0	0.0	0.0	0.05148883811190892	0.4625	1.0
2485	460	9800	2430.0	Not Talent and Not High Performer	Recent Hires	88.0	0.0	0.3805612594113621	0.0	0.0	0.0	0.0	0.05148883811190892	0.4625	1.0
2486	301	15500	1145.95	Not Talent and Not High Performer	Recent Hires	97.0	0.0	0.3805612594113621	0.0	0.0	0.0	0.0	0.05156003559913602	0.35000000000000003	1.0
2481	176	10200	2173.2	Not Talent and Not High Performer	Recent Hires	75.0	0.0	0.3805612594113621	0.0	0.0	0.0	0.0	0.05156003559913602	0.625	1.0
2480	1667	11000	8442.15	Not Talent and Not High Performer	Recent Hires	81.0	0.0	0.3805612594113621	0.0	0.0	0.0	0.0	0.05148883811190892	0.55	1.0
2260	2034	15500	10890.57	Not Talent and Not High Performer	Recent Hires	75.0	0.0	1.5496235455167693	0.0	0.0	0.0	0.0	0.22648232617083047	0.625	1.0
2429	978	16000	7475.7	Talent and Not High Performer	Recent Hires	77.0	0.0	0.6297056810403833	1.0	0.0	0.0	1.0	0.08849947584918874	0.6000000000000001	1.0
2430	932	12500	7281.35	Not Talent and Not High Performer	Recent Hires	92.0	0.0	0.6297056810403833	0.0	0.0	0.0	0.0	0.08849947584918874	0.41250000000000003	1.0
2385	2142	11500	5082.4	Not Talent and Not High Performer	Recent Hires	79.0	0.0	0.8788501026694046	0.0	0.0	0.0	0.0	0.1260762264648919	0.5750000000000001	1.0
2382	2155	12000	600.0	Not Talent and Not High Performer	Recent Hires	82.0	0.0	0.8788501026694046	0.0	0.0	0.0	0.0	0.1313437670153684	0.5375	1.0
2377	2319	20000	5159.28	Not Talent and Not High Performer	Recent Hires	83.0	0.0	0.8788501026694046	0.0	0.0	0.0	1.0	0.1313437670153684	0.525	1.0
2387	1545	17700	5943.9	Not Talent and Not High Performer	Recent Hires	84.0	0.0	0.8788501026694046	0.0	0.0	0.0	1.0	0.1260762264648919	0.5125000000000001	1.0
2365	2208	8200	1952.65	Not Talent and Not High Performer	Recent Hires	74.0	0.0	1.0485968514715949	0.0	0.0	0.0	1.0	0.15146752790527632	0.6375000000000001	1.0
2364	1809	15000	5007.35	Not Talent and Not High Performer	Recent Hires	88.0	0.0	1.0485968514715949	0.0	0.0	0.0	0.0	0.15148511700272124	0.4625	1.0
2322	376	18500	3857.8	Not Talent and Not High Performer	Recent Hires	84.0	0.0	1.3004791238877482	0.0	0.0	0.0	0.0	0.18918863199433902	0.5125000000000001	1.0
2325	2034	21300	10890.57	Not Talent and Not High Performer	Recent Hires	89.0	0.0	1.3004791238877482	0.0	0.0	0.0	0.0	0.18918863199433902	0.45	1.0
2361	2377	17000	2065.0	Not Talent and Not High Performer	Recent Hires	82.0	0.0	1.051334702258727	0.0	0.0	0.0	1.0	0.1610051993611851	0.5375	1.0
2460	962	9600	4725.35	Not Talent and Not High Performer	Recent Hires	71.0	0.0	0.4681724845995893	0.0	0.0	0.0	0.0	0.06072130904913818	0.675	1.0
2084	1460	23000	7281.0	Not Talent and Not High Performer	Recent Hires	90.0	0.0	2.4695414099931554	0.0	0.0	0.0	0.0	0.36418212005326056	0.4375	1.0
2443	462	11800	8121.75	Not Talent and Not High Performer	Recent Hires	87.0	0.0	0.5530458590006845	0.0	0.0	0.0	0.0	0.07531661702882576	0.47500000000000003	1.0
2446	32	14700	21130.14	Not Talent and Not High Performer	Recent Hires	92.0	0.0	0.5530458590006845	0.0	0.0	0.0	0.0	0.07531661702882576	0.41250000000000003	1.0
2434	473	13200	2402.0	Not Talent and Not High Performer	Recent Hires	97.0	0.0	0.5530458590006845	0.0	0.0	0.0	0.0	0.07531661702882576	0.35000000000000003	1.0
2115	1720	14000	4209.0	Not Talent and Not High Performer	Recent Hires	83.0	0.0	2.220396988364134	0.0	0.0	0.0	0.0	0.32688842587676903	0.525	1.0
